"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Acest test verifică endpoint-ul /api/user/login.php. Se așteaptă un token JWT în răspuns.","4086","Validare Login API cu user corect","Surefire suite","Mon Dec 15 06:53:09 UTC 2025","failed","Mon Dec 15 06:53:13 UTC 2025","ro.hapifyme.tests.HapifyMeLoginTest","Surefire test","ro.hapifyme.tests.HapifyMeLoginTest","testValidLogin"
"","691","testLoginWithLog4j","Surefire suite","Mon Dec 15 06:53:13 UTC 2025","passed","Mon Dec 15 06:53:14 UTC 2025","ro.hapifyme.tests.LoginTest","Surefire test","ro.hapifyme.tests.LoginTest","testLoginWithLog4j"
