"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","540","testLoginWithLog4j","Surefire suite","Mon Dec 15 09:37:19 UTC 2025","passed","Mon Dec 15 09:37:19 UTC 2025","ro.hapifyme.tests.LoginTest","Surefire test","ro.hapifyme.tests.LoginTest","testLoginWithLog4j"
"Acest test verifică endpoint-ul /api/user/login.php. Se așteaptă un token JWT în răspuns.","3530","Validare Login API cu user corect","Surefire suite","Mon Dec 15 09:37:15 UTC 2025","failed","Mon Dec 15 09:37:19 UTC 2025","ro.hapifyme.tests.HapifyMeLoginTest","Surefire test","ro.hapifyme.tests.HapifyMeLoginTest","testValidLogin"
