"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","616","testLoginWithLog4j","Surefire suite","Mon Dec 15 06:45:47 UTC 2025","passed","Mon Dec 15 06:45:48 UTC 2025","ro.hapifyme.tests.LoginTest","Surefire test","ro.hapifyme.tests.LoginTest","testLoginWithLog4j"
"Acest test verifică endpoint-ul /api/user/login.php. Se așteaptă un token JWT în răspuns.","3657","Validare Login API cu user corect","Surefire suite","Mon Dec 15 06:45:43 UTC 2025","failed","Mon Dec 15 06:45:47 UTC 2025","ro.hapifyme.tests.HapifyMeLoginTest","Surefire test","ro.hapifyme.tests.HapifyMeLoginTest","testValidLogin"
