"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","624","testUserFlow","Surefire suite","Mon May 18 17:49:20 UTC 2026","passed","Mon May 18 17:49:21 UTC 2026","ro.hapifyme.tests.ThreadSafeTest","Surefire test","ro.hapifyme.tests.ThreadSafeTest","testUserFlow"
"","4032","testLoginWithLog4j","Surefire suite","Mon May 18 17:49:13 UTC 2026","passed","Mon May 18 17:49:17 UTC 2026","ro.hapifyme.tests.LoginTest","Surefire test","ro.hapifyme.tests.LoginTest","testLoginWithLog4j"
"Acest test verifică endpoint-ul /api/user/login.php. Se așteaptă un token JWT în răspuns.","746","Validare Login API cu user corect","Surefire suite","Mon May 18 17:49:21 UTC 2026","passed","Mon May 18 17:49:21 UTC 2026","ro.hapifyme.tests.HapifyMeLoginTest","Surefire test","ro.hapifyme.tests.HapifyMeLoginTest","testValidLogin"
"","3447","Verifică starea de sănătate a sistemului (Health Check)","Surefire suite","Mon May 18 17:49:17 UTC 2026","passed","Mon May 18 17:49:20 UTC 2026","ro.hapifyme.tests.SystemHealthTest","Surefire test","ro.hapifyme.tests.SystemHealthTest","testSystemHealth"
