"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","477","testLoginWithLog4j","Surefire suite","Mon Dec 15 09:26:08 UTC 2025","passed","Mon Dec 15 09:26:09 UTC 2025","ro.hapifyme.tests.LoginTest","Surefire test","ro.hapifyme.tests.LoginTest","testLoginWithLog4j"
"Acest test verifică endpoint-ul /api/user/login.php. Se așteaptă un token JWT în răspuns.","3757","Validare Login API cu user corect","Surefire suite","Mon Dec 15 09:26:04 UTC 2025","passed","Mon Dec 15 09:26:08 UTC 2025","ro.hapifyme.tests.HapifyMeLoginTest","Surefire test","ro.hapifyme.tests.HapifyMeLoginTest","testValidLogin"
