"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","hapifyMe Core","0","Authentication Module","1","0","JIRA-101: Ca utilizator, vreau să mă pot loga.","0"
