"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","635","testLoginWithLog4j","Surefire suite","Tue Dec 16 10:06:46 UTC 2025","passed","Tue Dec 16 10:06:47 UTC 2025","ro.hapifyme.tests.LoginTest","Surefire test","ro.hapifyme.tests.LoginTest","testLoginWithLog4j"
"Acest test verifică endpoint-ul /api/user/login.php. Se așteaptă un token JWT în răspuns.","3345","Validare Login API cu user corect","Surefire suite","Tue Dec 16 10:06:43 UTC 2025","failed","Tue Dec 16 10:06:46 UTC 2025","ro.hapifyme.tests.HapifyMeLoginTest","Surefire test","ro.hapifyme.tests.HapifyMeLoginTest","testValidLogin"
